MUNICIPALITY NAME,NAME OF PERSON ELECTED - LAST NAME,NAME OF PERSON ELECTED - FIRST NAME,"NAME OF
OFFICE",NUMBER OF VOTES CAST FOR THE CANDIDATE?,NUMBER OF VOTES CAST FOR THE OFFICE,ELECTED or ACCLAIMED?,DID CANDIDATE SERVE ON 2014-2018 COUNCIL? (YES / NO),"IS THIS OFFICE SUBJECT TO A RECOUNT
(YES / NO)"
Hamilton Tp,Williamson,Larry,LOCAL COUNCILLOR,"1,375","2,512",ELECTED,NO,NO
Hanover T,Paterson,Sue,MAYOR,"1,767","2,585",ELECTED,YES,NO
Hanover T,Hicks,Selwyn J.,DEPUTY MAYOR,"1,315","2,537",ELECTED,YES,NO
Hanover T,Dickert,Warren,LOCAL COUNCILLOR,"1,174","11,628",ELECTED,NO,NO
Hanover T,Fitzsimmons,Steve,LOCAL COUNCILLOR,"1,213","11,628",ELECTED,YES,NO
Hanover T,Fleet,Harold,LOCAL COUNCILLOR,"1,467","11,628",ELECTED,NO,NO
Hanover T,Hocking,Dave,LOCAL COUNCILLOR,"1,177","11,628",ELECTED,NO,NO
Hanover T,Koebel,Brandon,LOCAL COUNCILLOR,"1,821","11,628",ELECTED,NO,NO
Harley Tp,Archambault,Pauline,REEVE, -   , -   ,ACCLAIMED,YES,NO
Harley Tp,Bilow,Auldin,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Harley Tp,Fielder,Clifford,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Harley Tp,Gosselin,Marc,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Harley Tp,McNaughton,Richard,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Harris Tp,Despres,Chantal,REEVE, -   , -   ,ACCLAIMED,YES,NO
Harris Tp,Licop,Al,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Harris Tp,Sutton,Ron,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Harris Tp,Pressault,Genevieve,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Harris Tp,Campsall,William,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Hastings Co,Jenkins,Paul,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Hastings Co,ADAMS,BONNIE,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Hastings Co,Deline,Tom,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Hastings Co,PURCELL,DENNIS,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Hastings Co,BODNAR,VIC A.,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Hastings Co,STEFANSKI,CARL,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Hastings Co,Blackburn,Loyde,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Hastings Co,O'NEILL,JAN,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Hastings Co,CLARKE,LIBBY,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Hastings Co,Abert,Jo-Anne,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Hastings Co,Phillips,Rick,WARDEN,,,,NO,NO
Hastings Co,Mullin,Bob,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Hastings Co,Shaw,Barbara,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Hastings Highlands M,BODNAR,VIC A.,MAYOR,826,"2,687",ELECTED,NO,NO
Hastings Highlands M,HAGAR,TRACY,DEPUTY MAYOR,"1,504","2,676",ELECTED,YES,NO
Hastings Highlands M,FITZGERALD,TONY,LOCAL COUNCILLOR,"1,628","10,482",ELECTED,NO,NO
Hastings Highlands M,MATHESON,NANCY,LOCAL COUNCILLOR,"1,619","10,482",ELECTED,YES,NO
Hastings Highlands M,GERROW,DOROTHY,LOCAL COUNCILLOR,"1,588","10,482",ELECTED,YES,NO
Hastings Highlands M,DAVIS,TAMMY,LOCAL COUNCILLOR,"1,324","10,482",ELECTED,NO,NO
Hastings Highlands M,WALDER,ALEX,LOCAL COUNCILLOR,"1,281","10,482",ELECTED,YES,NO
Havelock-Belmont-Methuen Tp,Martin,Jim,MAYOR,"1,662","2,910",ELECTED,YES,NO
Havelock-Belmont-Methuen Tp,Gerow,David,DEPUTY MAYOR,"1,905","2,728",ELECTED,YES,NO
Havelock-Belmont-Methuen Tp,Webb,Hart,LOCAL COUNCILLOR,"1,426","2,739",ELECTED,YES,NO
Havelock-Belmont-Methuen Tp,Ellis,Larry,LOCAL COUNCILLOR,"1,255","2,280",ELECTED,NO,NO
Havelock-Belmont-Methuen Tp,Pomeroy,Barry,LOCAL COUNCILLOR,241,452,ELECTED,YES,NO
Hawkesbury T,Assaly,Paula,Mayor,"2,297","4,362",ELECTED,NO,NO
Hawkesbury T,Bogue,Lawrence,LOCAL COUNCILLOR,"1,942","4,324",ELECTED,NO,NO
Hawkesbury T,Campbell,Raymond,LOCAL COUNCILLOR,"1,490","4,324",ELECTED,NO,NO
Hawkesbury T,Chamaillard,Andre,LOCAL COUNCILLOR,"1,795","4,324",ELECTED,YES,NO
Hawkesbury T,Lefebvre,Robert,LOCAL COUNCILLOR,"1,656","4,324",ELECTED,NO,NO
Hawkesbury T,Paquette,Yves,LOCAL COUNCILLOR,"1,591","4,324",ELECTED,YES,NO
Hawkesbury T,Tsourounakis,Antonios,LOCAL COUNCILLOR,"2,311","4,324",ELECTED,NO,NO
"Head, Clara and Maria Tp",Grills,Debbie,MAYOR,227,303,ELECTED,NO,NO
"Head, Clara and Maria Tp",Allen,Brent,LOCAL COUNCILLOR,116,"1,140",ELECTED,NO,NO
"Head, Clara and Maria Tp",Dowser,Chris,LOCAL COUNCILLOR,188,"1,140",ELECTED,NO,NO
"Head, Clara and Maria Tp",Kelly-Chamberlain,Fran,LOCAL COUNCILLOR,177,"1,140",ELECTED,NO,NO
"Head, Clara and Maria Tp",Villeneuve,Ernie Jr.,LOCAL COUNCILLOR,201,"1,140",ELECTED,YES,NO
Hearst T,Sigouin,Roger,MAYOR,"1,397","1,666",ELECTED,YES,NO
Hearst T,Baillargeon,Gaetan,LOCAL COUNCILLOR,"1,123","1,711",ELECTED,NO,NO
Hearst T,Lauzon,Joel,LOCAL COUNCILLOR,"1,015","1,711",ELECTED,NO,NO
Hearst T,Lemaire,Daniel,LOCAL COUNCILLOR,830,"1,711",ELECTED,YES,NO
Hearst T,Morin,Conrad R,LOCAL COUNCILLOR,911,"1,711",ELECTED,YES,NO
Hearst T,Ringuette,Marc,LOCAL COUNCILLOR,"1,151","1,711",ELECTED,NO,NO
Hearst T,Vachon,Josée B,LOCAL COUNCILLOR,"1,365","1,711",ELECTED,NO,NO
Highlands East M,Burton,Dave,MAYOR,"1,557","2,796",ELECTED,YES,NO
Highlands East M,McKenzie,Cam,LOCAL COUNCILLOR,206,273,ELECTED,YES,NO
Highlands East M,Partridge,Suzanne,LOCAL COUNCILLOR,577,915,ELECTED,YES,NO
Highlands East M,Ryall,Cecil,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,Yes,NO
Highlands East M,Strong,Ruth,LOCAL COUNCILLOR,323,853,ELECTED,NO,NO
Hilliard Tp,Bolesworth,Laurie,MAYOR,41,78,ELECTED,YES,NO
Hilliard Tp,Peckover,Karen,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Hilliard Tp,Goddard,Doug,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Hilliard Tp,Gilbert,Carolyn,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Hilliard Tp,Murphy,Bruce Duncan,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Hilton Beach V,Hope,Robert,Mayor, -   , -   ,ACCLAIMED,YES,NO
Hilton Beach V,Bailey Meeks,Shirley,LOCAL COUNCILLOR,37,228,ELECTED,YES,NO
Hilton Beach V,Davison,John,LOCAL COUNCILLOR,69,228,ELECTED,NO,NO
Hilton Beach V,Moore,Julie,LOCAL COUNCILLOR,45,228,ELECTED,YES,NO
Hilton Beach V,Wells,John,LOCAL COUNCILLOR,56,228,ELECTED,YES,NO
Hilton Tp,Wood,Rodney,REEVE, -   , -   ,ACCLAIMED,YES,NO
Hilton Tp,Garside,Patrick,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Hilton Tp,Holt,Dianne,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Hilton Tp,Jerrard,Robert,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Hilton Tp,Leask,David,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Hornepayne Tp,FORT,CHERYL T.,MAYOR,263,506,ELECTED,YES,NO
Hornepayne Tp,KISTEMAKER,BELINDA LEE,LOCAL COUNCILLOR,338,"1,900",ELECTED,NO,NO
Hornepayne Tp,KISTEMAKER,PETER,LOCAL COUNCILLOR,306,"1,900",ELECTED,NO,NO
Hornepayne Tp,PEROFF,JON,LOCAL COUNCILLOR,201,"1,900",ELECTED,NO,NO
Hornepayne Tp,STEFANIC,DRAGO,LOCAL COUNCILLOR,196,"1,900",ELECTED,YES,NO
Horton Tp,BENNETT,DAVID,MAYOR,794,"1,446",ELECTED,YES,NO
Horton Tp,CAMPBELL,GLEN,LOCAL COUNCILLOR,"1,051","5,100",ELECTED,YES,NO
Horton Tp,CLEROUX,LANE,LOCAL COUNCILLOR,821,"5,100",ELECTED,NO,NO
Horton Tp,HUMPHRIES,DOUGLAS,LOCAL COUNCILLOR,798,"5,100",ELECTED,NO,NO
Horton Tp,WEBSTER,TOM,LOCAL COUNCILLOR,803,"5,100",ELECTED,NO,NO
Howick Tp,Harding,Doug,REEVE,806,"1,153",ELECTED,YES,NO
Howick Tp,Bowman,Eldon,DEPUTY REEVE,542,"1,153",ELECTED,NO,NO
Howick Tp,Hargrave,Doug,LOCAL COUNCILLOR,800,"1,153",ELECTED,NO,NO
Howick Tp,Gibson,Megan,LOCAL COUNCILLOR,709,"1,153",ELECTED,NO,NO
Howick Tp,Illman,Bob,LOCAL COUNCILLOR,569,"1,153",ELECTED,NO,NO
Hudson Tp,Craig,Larry,REEVE, -   , -   ,ACCLAIMED,YES,NO
Hudson Tp,McNair,Bryan,LOCAL COUNCILLOR,108,139,ELECTED,YES,NO
Hudson Tp,Morrow,Dan,LOCAL COUNCILLOR,79,139,ELECTED,YES,NO
Hudson Tp,Seed,Craig,LOCAL COUNCILLOR,102,139,ELECTED,YES,NO
Hudson Tp,Woods,Martin,LOCAL COUNCILLOR,92,139,ELECTED,YES,NO
Huntsville T,Aitchison,Scott,MAYOR,"5,318","6,499",ELECTED,YES,NO
Huntsville T,Alcock,Nancy,LOCAL AND DISTRICT COUNCILLOR,"3,931","17,063",ELECTED,YES,NO
Huntsville T,Thompson,Brian,LOCAL AND DISTRICT COUNCILLOR,"3,258","17,063",ELECTED,YES,NO
Huntsville T,Withey,Tim,LOCAL AND DISTRICT COUNCILLOR,"3,981","17,063",ELECTED,YES,NO
Huntsville T,Terziano,Karin,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Huntsville T,Wiebe,Jonathan,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Huntsville T,FitzGerald,Jason,LOCAL COUNCILLOR,878,"2,638",ELECTED,NO,NO
Huntsville T,Schumacher,Dione,LOCAL COUNCILLOR,752,"2,638",ELECTED,NO,NO
Huntsville T,Armour,Daniel,LOCAL COUNCILLOR,993,"1,316",ELECTED,NO,NO
Huron Co,McNeil,Glen,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Huron Co,Klopp,Paul,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Huron Co,Ginn,Jim,WARDEN,,,,YES,NO
Huron Co,Grace,John,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Huron Co,Harding,Doug,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Huron Co,MacLellan,Bernie,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Huron Co,Bailey,Bernie,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Huron Co,Finch,George,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Huron Co,Heffer,Jamie,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Huron Co,Watt,Roger,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Huron Co,Fergusson,Jim,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Huron Co,Jewitt,David,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Huron Co,Murdock,Myles,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Huron Co,Dietrich,Jim,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Huron East M,MacLellan,Bernie,MAYOR,"1,414","2,630",ELECTED,YES,NO
Huron East M,Lowe,John ,LOCAL COUNCILLOR,264,366,ELECTED,YES,NO
Huron East M,Onn,Zoey,LOCAL COUNCILLOR,263,366,ELECTED,NO,NO
Huron East M,Diehl,Dianne,LOCAL COUNCILLOR,360,470,ELECTED,YES,NO
Huron East M,McLellan,Alvin,LOCAL COUNCILLOR,352,470,ELECTED,YES,NO
Huron East M,Wilbee,Gloria,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Huron East M,Dalton,Brenda,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Huron East M,Steffler,Joe,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Huron East M,Fisher,Bob,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Huron East M,McGrath,Larry,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Huron East M,Chartrand,Raymond,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Huron Shores M,Bilodeau,Georges,MAYOR,302,473,ELECTED,NO,NO
Huron Shores M,MacKinnon,Blair,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Huron Shores M,Walsh,Darlene,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Huron Shores M,Jones-Scissons,Nancy,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Huron Shores M,Kirby,Debbie,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Huron Shores M,Armstrong,Jane,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Huron Shores M,Wedgwood,Dave,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Huron Shores M,Campbell,Gordon,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Huron Shores M,Pirrie,Jock,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Huron-Kinloss Tp,Twolan,Mitch,MAYOR,"1,846","2,768",ELECTED,YES,NO
Huron-Kinloss Tp,Murray,Don,DEPUTY MAYOR,"1,680","1,018",ELECTED,YES,NO
Huron-Kinloss Tp,Abbott,Lillian,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Huron-Kinloss Tp,Hanna,James,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Huron-Kinloss Tp,Elliott,Jeff,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Huron-Kinloss Tp,McGugan,Edward,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Huron-Kinloss Tp,Sloetjes,Carl,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Ignace Tp,Cunningham,Donald,Mayor,296,606,ELECTED,NO,NO
Ignace Tp,Hart,Debbie,LOCAL COUNCILLOR,337,"2,259",ELECTED,NO,NO
Ignace Tp,Lucas,Penny,LOCAL COUNCILLOR,411,"2,259",ELECTED,NO,NO
Ignace Tp,Penney,David,LOCAL COUNCILLOR,365,"2,259",ELECTED,NO,NO
Ignace Tp,Waldock,Greg,LOCAL COUNCILLOR,308,"2,259",ELECTED,NO,NO
Ingersoll T,Comiskey,Ted,MAYOR,"1,896","4,150",ELECTED,YES,NO
Ingersoll T,Freeman,Fred,DEPUTY MAYOR,"1,956","3,885",ELECTED,YES,NO
Ingersoll T,Van Kooten-Bossence,Kristy,LOCAL COUNCILLOR,"2,129","17,811",ELECTED,YES,NO
Ingersoll T,Eus,Rick,LOCAL COUNCILLOR,"2,020","17,811",ELECTED,NO,NO
Ingersoll T,Petrie,Brian,LOCAL COUNCILLOR,"1,868","17,811",ELECTED,YES,NO
Ingersoll T,Lesser,Gord,LOCAL COUNCILLOR,"1,679","17,811",ELECTED,YES,NO
Ingersoll T,Bowman,Michael,LOCAL COUNCILLOR,"1,572","17,811",ELECTED,YES,NO
Innisfil T,DOLLIN,LYNN,MAYOR,"4,654","9,023",ELECTED,YES,NO
Innisfil T,DAVIDSON,DANIEL,DEPUTY MAYOR,"2,603","8,849",ELECTED,NO,NO
Innisfil T,EISSES,KEVIN,LOCAL COUNCILLOR,693,999,ELECTED,NO,NO
Innisfil T,VAN BERKEL,WILLIAM,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Innisfil T,ORSATTI,DONNA,LOCAL COUNCILLOR,"1,038","1,622",ELECTED,YES,NO
Innisfil T,WATERS,ALEX,LOCAL COUNCILLOR,401,"1,356",ELECTED,NO,NO
Innisfil T,FOWLER,KENNETH,LOCAL COUNCILLOR,510,830,ELECTED,NO,NO
Innisfil T,PAYNE,CAROLYN,LOCAL COUNCILLOR,826,"1,458",ELECTED,YES,NO
Innisfil T,NICOL,ROB,LOCAL COUNCILLOR,"1,109","1,531",ELECTED,YES,NO
Iroquois Falls T,BRITTON,PAT,MAYOR,511,"1,905",ELECTED,NO,NO
Iroquois Falls T,BOUCHER,TERRY LEE,LOCAL COUNCILLOR,"1,266","8,063",ELECTED,YES,NO
Iroquois Falls T,COCKBURN,DAVE,LOCAL COUNCILLOR,"1,123","8,063",ELECTED,NO,NO
Iroquois Falls T,CYBOLSKY,DARCY,LOCAL COUNCILLOR,"1,313","8,063",ELECTED,NO,NO
Iroquois Falls T,DELAURIER,TORY,LOCAL COUNCILLOR,"1,266","8,063",ELECTED,YES,NO
Iroquois Falls T,KENNEDY,COLIN,LOCAL COUNCILLOR,"1,044","8,063",ELECTED,YES,NO
Iroquois Falls T,MADDEN,JEFF,LOCAL COUNCILLOR,"1,265","8,063",ELECTED,YES,NO
James Tp,Fiset,Terry,REEVE,139,,ELECTED,YES,NO
James Tp,Mullin,David,LOCAL COUNCILLOR,165,,ELECTED,Yes,NO
James Tp,Palmer,Gary,LOCAL COUNCILLOR,132,,ELECTED,NO,NO
James Tp,MacDowall,Janet,LOCAL COUNCILLOR,129,,ELECTED,YES,NO
James Tp,Cormier,Pam,LOCAL COUNCILLOR,120,,ELECTED,YES,NO
Jocelyn Tp,HENDERSON,MARK,REEVE, -   , -   ,ACCLAIMED,YES,NO
Jocelyn Tp,CALLAHAN,JANET,LOCAL COUNCILLOR,280,344,ELECTED,YES,NO
Jocelyn Tp,CROWDER,ALBERTS,LOCAL COUNCILLOR,228,344,ELECTED,NO,NO
Jocelyn Tp,DUKES,BRIAN,LOCAL COUNCILLOR,237,344,ELECTED,YES,NO
Jocelyn Tp,GILBERTSON,GREG,LOCAL COUNCILLOR,273,344,ELECTED,NO,NO
Johnson Tp,Mersereau,Blaine,MAYOR,236,370,ELECTED,NO,NO
Johnson Tp,Carter,Jim,LOCAL COUNCILLOR,190,376,ELECTED,NO,NO
Johnson Tp,Grant,Gavin,LOCAL COUNCILLOR,199,376,ELECTED,NO,NO
Johnson Tp,Kern,Jason,LOCAL COUNCILLOR,139,376,ELECTED,YES,YES
Johnson Tp,McKinnon,Reg,LOCAL COUNCILLOR,249,376,ELECTED,NO,NO
Joly Tp,Bryson,Tim,MAYOR,125,324,ELECTED,NO,NO
Joly Tp,Black,Bill,LOCAL COUNCILLOR,205,942,ELECTED,NO,NO
Joly Tp,Brown,Budd,LOCAL COUNCILLOR,209,942,ELECTED,YES,NO
Joly Tp,Bryson,Tom,LOCAL COUNCILLOR,183,942,ELECTED,NO,NO
Joly Tp,McCabe,Brian,LOCAL COUNCILLOR,240,942,ELECTED,YES,NO
Kapuskasing T,Plourde,David,MAYOR,"1,335","3,064",ELECTED,YES,NO
Kapuskasing T,Boucher,Julien,LOCAL COUNCILLOR,"1,157","3,064",ELECTED,NO,NO
Kapuskasing T,Credger,Martin,LOCAL COUNCILLOR,"1,092","3,064",ELECTED,YES,NO
Kapuskasing T,Lessard,Sebastien,LOCAL COUNCILLOR,"1,296","3,064",ELECTED,NO,NO
Kapuskasing T,Munnoch,Ken,LOCAL COUNCILLOR,"1,624","3,064",ELECTED,NO,NO
Kapuskasing T,Newton,Bruce,LOCAL COUNCILLOR,"1,067","3,064",ELECTED,NO,NO
Kapuskasing T,Scherer,Guylaine,LOCAL COUNCILLOR,"1,210","3,064",ELECTED,NO,NO
Kawartha Lakes C,Letham,Andy,MAYOR,"11,435","25,044",ELECTED,YES,NO
Kawartha Lakes C,Yeo,Emmett,LOCAL COUNCILLOR,"1,213","2,567",ELECTED,YES,NO
Kawartha Lakes C,Seymour-Fagan,Kathleen,LOCAL COUNCILLOR,"1,112","3,151",ELECTED,YES,NO
Kawartha Lakes C,Elmslie,Doug,LOCAL COUNCILLOR,"2,047","3,239",ELECTED,YES,NO
Kawartha Lakes C,Veale,Andrew,LOCAL COUNCILLOR,"1,195","2,511",ELECTED,YES,NO
Kawartha Lakes C,Dunn,Pat,LOCAL COUNCILLOR,"1,403","4,017",ELECTED,YES,NO
Kawartha Lakes C,Ashmore,Ron,LOCAL COUNCILLOR,666,"3,236",ELECTED,NO,NO
Kawartha Lakes C,O'Reilly,Patrick,LOCAL COUNCILLOR,"2,832","3,918",ELECTED,YES,NO
Kawartha Lakes C,Richardson,Tracy,LOCAL COUNCILLOR,815,"2,242",ELECTED,NO,NO
Kearney T,Ballantyne,Carol,Mayor,729,"1,044",ELECTED,YES,NO
Kearney T,Philip,Cheryl,LOCAL COUNCILLOR,380,"3,495",ELECTED,YES,NO
Kearney T,Rickward,Mike,LOCAL COUNCILLOR,801,"3,495",ELECTED,NO,NO
Kearney T,Stermsek,Liz,LOCAL COUNCILLOR,660,"3,495",ELECTED,YES,NO
Kearney T,Ziraldo,Paul,LOCAL COUNCILLOR,562,"3,495",ELECTED,YES,NO
Kenora C,Reynard,Daniel (Dan),MAYOR,"4,729","5,124",ELECTED,YES,NO
Kenora C,Poirier,Andrew,LOCAL COUNCILLOR,"3,394","28,391",ELECTED,NO,NO
Kenora C,Goss,Morton (Mort),LOCAL COUNCILLOR,"2,781","28,391",ELECTED,YES,NO
Kenora C,Smith,Sharon,LOCAL COUNCILLOR,"2,721","28,391",ELECTED,YES,NO
Kenora C,Ralko,Kirsi,LOCAL COUNCILLOR,"2,628","28,391",ELECTED,NO,NO
Kenora C,McMillan,Malcolm (Rory),LOCAL COUNCILLOR,"2,615","28,391",ELECTED,YES,NO
Kenora C,VanWalleghem,Chris,LOCAL COUNCILLOR,"2,435","28,391",ELECTED,NO,NO
Kerns Tp,Phillips,Terry,REEVE, -   , -   ,ACCLAIMED,YES,NO
Kerns Tp,Seymour,Carter,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Kerns Tp,Jibb,Dennis,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Kerns Tp,Lenover,Mark,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Kerns Tp,Runnalls,Loren,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
"Killaloe, Hagarty and Richards Tp",VISNESKIE MOORE,JANICE,MAYOR,951,"1,820",ELECTED,YES,YES
"Killaloe, Hagarty and Richards Tp",BROWNE,EDWARD,LOCAL COUNCILLOR,356,"1,066",ELECTED,YES,YES
"Killaloe, Hagarty and Richards Tp",KUEHL,CARL,LOCAL COUNCILLOR,261,"1,066",ELECTED,YES,YES
Killarney M,ROOK,GINNY,MAYOR,274,537,ELECTED,YES,NO
Killarney M,HAITSE,BARBARA ANNE,LOCAL COUNCILLOR,291,897,ELECTED,NO,NO
Killarney M,REIDER,MICHAEL,LOCAL COUNCILLOR,265,897,ELECTED,YES,NO
Killarney M,WIRTZ,NANCY,LOCAL COUNCILLOR,262,897,ELECTED,YES,NO
Killarney M,DIMITRIJEVIC,JOHN,LOCAL COUNCILLOR,89,297,ELECTED,NO,NO
Killarney M,ROOK,JIM,LOCAL COUNCILLOR,153,297,ELECTED,YES,NO
Kincardine M,Eadie,Anne,MAYOR,"3,435","3,809",ELECTED,YES,NO
Kincardine M,Wilson,Marie,DEPUTY MAYOR,"2,910","12,815",ELECTED,NO,NO
Kincardine M,Kennedy,Doug,LOCAL COUNCILLOR,"2,764","12,815",ELECTED,NO,NO
Kincardine M,Haight,Laura,LOCAL COUNCILLOR,"2,593","12,815",ELECTED,YES,NO
Kincardine M,Cuyler,Dave,LOCAL COUNCILLOR,"1,957","12,815",ELECTED,NO,NO
Kincardine M,Couture,Maureen,LOCAL COUNCILLOR,"1,658","3,587",ELECTED,YES,NO
Kincardine M,Glover,Gerry,LOCAL COUNCILLOR,"1,485","3,587",ELECTED,NO,NO
Kincardine M,Stewart,Bill,LOCAL COUNCILLOR,769,"1,054",ELECTED,NO,NO
Kincardine M,Roppel,Randy,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
King Tp,PELLEGRINI,STEVE,MAYOR, -   , -   ,ACCLAIMED,YES,NO
King Tp,CESCOLINI,JORDAN ALEXANDER,LOCAL COUNCILLOR,589,"1,273",ELECTED,NO,NO
King Tp,BOYD,DAVID,LOCAL COUNCILLOR,970,"1,075",ELECTED,YES,NO
King Tp,SCHNEIDER,JAKOB,LOCAL COUNCILLOR,279,502,ELECTED,NO,NO
King Tp,COBER,BILL,LOCAL COUNCILLOR,879,"1,451",ELECTED,YES,NO
King Tp,SCHAEFER,DEBBIE,LOCAL COUNCILLOR,573,"1,102",ELECTED,YES,NO
King Tp,EEK,AVIA,LOCAL COUNCILLOR,262,384,ELECTED,YES,NO
Kingston C,PATERSON,BRYAN,MAYOR,"23,708","34,346",ELECTED,YES,NO
Kingston C,OOSTERHOF,GARY,LOCAL COUNCILLOR,"1,171","2,812",ELECTED,YES,NO
Kingston C,CHAPELLE,SIMON,LOCAL COUNCILLOR,"1,527","3,067",ELECTED,NO,NO
Kingston C,OSANIC,LISA,LOCAL COUNCILLOR,"2,322","3,419",ELECTED,YES,NO
Kingston C,HILL,WAYNE,LOCAL COUNCILLOR,"1,958","3,765",ELECTED,NO,NO
Kingston C,DOHERTY,BRIDGET,LOCAL COUNCILLOR,"1,410","2,578",ELECTED,NO,NO
Kingston C,KILEY,ROBERT,LOCAL COUNCILLOR,"1,508","3,549",ELECTED,NO,NO
Kingston C,HOLLAND,MARY-RITA,LOCAL COUNCILLOR,"1,007","2,228",ELECTED,YES,NO
Kingston C,MCLAREN,JEFF,LOCAL COUNCILLOR,"1,927","3,089",ELECTED,YES,NO
Kingston C,NEILL,JIM,LOCAL COUNCILLOR,932,"1,828",ELECTED,YES,NO
Kingston C,STROUD,PETER,LOCAL COUNCILLOR,"1,141","1,767",ELECTED,YES,NO
Kingston C,HUTCHISON,ROB,LOCAL COUNCILLOR,"2,001","2,488",ELECTED,YES,NO
Kingston C,BOEHME,RYAN NELSON,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Kingsville T,Santos,Nelson,MAYOR, -   , -   ,ACCLAIMED,YES,NO
